ITU Country Codes
1998

Name = short country name in English
ITU  = ITU country designator
ISO  = ISO country designator
M    = ITU member? (Y/N)
C    = ITU council member? (Y/N)
L    = Main language spoken in country


Country Name                            ITU   ISO     M    C    L
Malawi                                  MWI   MWI     Y    N    E  
Malaysia                                MLA   MYS     Y    N    E  
Maldives                                MLD   MDV     Y    N    E  
Mali                                    MLI   MLI     Y    Y    F  
Malta                                   MLT   MLT     Y    N    E  
Marion Island                           MRN           N    N    E  
Marshall Islands                        MHL   MHL     N    N    E  
Martinique                              MRT   MTQ     N    N    F  
Mauritania                              MTN   MRT     Y    N    F  
Mauritius                               MAU   MUS     Y    N    E  
Mayotte                                 MYT   MYT     N    N    F  
Mexico                                  MEX   MEX     Y    Y    S  
Micronesia                              FSM   FSM     Y    N    E  
Midway Islands                          MDW           N    N    E  
Moldova                                 MDA   MDA     Y    N    E  
Monaco                                  MCO   MCO     Y    N    F  
Mongolia                                MNG   MNG     Y    N    E  
Montserrat                              MSR   MSR     N    N    E  
Morocco                                 MRC   MAR     Y    Y    F  
Mozambique                              MOZ   MOZ     Y    N    F  
Myanmar                                 BRM   MMR     Y    N    E  
Namibia                                 NMB   NAM     Y    N    E  
Nauru                                   NRU   NRU     Y    N    E  
Nepal                                   NPL   NPL     Y    N    E  
Netherlands                             HOL   NLD     Y    N    F/E
Netherlands Antilles                    ATN   ANT     N    N    E  
New Caledonia                           NCL   NCL     N    N    F  
New Zealand                             NZL   NZL     Y    N    E  
Nicaragua                               NCG   NIC     Y    N    S  
Niger                                   NGR   NER     Y    N    F  
Nigeria                                 NIG   NGA     Y    Y    E  
Niue                                    NIU   NIU     N    N    E  
Norfolk Island                          NFK   NFK     N    N    E  
Northern Marianas                       MRA   MNP     N    N    E  
Norway                                  NOR   NOR     Y    N    E  
Oman                                    OMA   OMN     Y    N    E  
Pakistan                                PAK   PAK     Y    Y    E  
Palau                                   PLW   PLW     N    N    E  
Palmyra Island                          PLM           N    N    E  
Panama                                  PNR   PAN     Y    N    S  
Papua New Guinea                        PNG   PNG     Y    N    E  
Paraguay                                PRG   PRY     Y    N    S  
Peru                                    PRU   PER     Y    N    S  
Philippines                             PHL   PHL     Y    Y    E  
Phoenix Islands                         PHX           N    N    E  
Pitcairn                                PTC   PCN     N    N    E  
Poland                                  POL   POL     Y    Y    F  
Portugal                                POR   PRT     Y    Y    F  
Puerto Rico                             PTR   PRI     N    N    E  
Qatar                                   QAT   QAT     Y    N    E  
Reunion                                 REU   REU     N    N    F  
Rodrigues                               ROD           N    N    E  
Romania                                 ROU   ROM     Y    Y    F  
Russia                                  RUS   RUS     Y    Y    F  
Rwanda                                  RRW   RWA     Y    N    F  
Saint Helena                            SHN   SHN     N    N    E  
Saint Kitts and Nevis                   SCN   KNA     N    N    E  
Saint Lucia                             LCA   LCA     N    N    E  
Saint Paul and Amsterdam                AMS           N    N    F  
Saint Pierre and Miquelon               SPM   SPM     N    N    F  
Saint Vincent and the Grenadines        VCT   VCT     Y    N    E  
San Marino                              SMR   SMR     Y    N    E  
Sao Tome and Principe                   STP   STP     Y    N    F/E
Saudi Arabia                            ARS   SAU     Y    Y    E  
Senegal                                 SEN   SEN     Y    Y    F  
Seychelles                              SEY   SYC     N    N    F/E
Sierra Leone                            SRL   SLE     Y    N    E  
Singapore                               SNG   SGP     Y    N    E  
Slovakia                                SVK   SVK     Y    N    E  
Slovenia                                SVN   SVN     Y    N    E  
Solomon                                 SLM   SLB     Y    N    E  
Somalia                                 SOM   SOM     Y    N    E  
South Africa                            AFS   ZAF     Y    Y    E  
Spain                                   E     ESP     Y    Y    S  
Sri Lanka                               CLN   LKA     Y    N    E  
Sudan                                   SDN   SDN     Y    N    E  
Suriname                                SUR   SUR     Y    N    E  
Swan Islands                            SWN           N    N    S  
Swaziland                               SWZ   SWZ     Y    N    E  
Sweden                                  S     SWE     Y    N    E  
Switzerland                             SUI   CHE     Y    Y    F  
Syria                                   SYR   SYR     Y    N    E  
Tajikistan                              TJK   TJK     Y    N    E  
Tanzania                                TZA   TZA     Y    Y    E  
Thailand                                THA   THA     Y    Y    E  
The Former Yugoslav Rep. of Macedonia   MKD   MKD     Y    N    E  
Togo                                    TGO   TGO     Y    N    F  
Tokelau                                 TKL   TKL     N    N    E  
Tonga                                   TON   TON     Y    N    E  
Trinidad and Tobago                     TRD   TTO     Y    N    E  
Tristan da Cunha                        TRC           N    N    E  
Tunisia                                 TUN   TUN     Y    N    F  
Turkey                                  TUR   TUR     Y    N    F/E
Turkmenistan                            TKM   TKM     Y    N    E  
Turks and Caicos Islands                TCA   TCA     N    N    E  
Tuvalu                                  TUV   TUV     N    N    E  
Uganda                                  UGA   UGA     Y    N    E  
Ukraine                                 UKR   UKR     Y    Y    F  
United Arab Emirates                    UAE   ARE     Y    N    E  
United Kingdom                          G     GBR     Y    Y    E  
United States                           USA   USA     Y    Y    E  
United States Virgin Islands            VIR   VIR     N    N    E  
Uruguay                                 URG   URY     Y    N    S  
Uzbekistan                              UZB   UZB     Y    N    E  
Vanuatu                                 VUT   VUT     Y    N    E  
Vatican                                 CVA   VAT     Y    N    F  
Venezuela                               VEN   VEN     Y    N    S  
Viet Nam                                VTN   VNM     Y    Y    F  
Wake Island                             WAK           N    N    E  
Wallis and Futuna                       WAL   WLF     N    N    F  
Western Sahara                          AOE   ESH     N    N       
Western Samoa                           SMO   WSM     Y    N    E  
Yemen                                   YEM   YEM     Y    N    E  
Yugoslavia                              YUG   YUG     Y    N    F  
Zaire                                   ZAI   ZAR     Y    N    F  
Zambia                                  ZMB   ZMB     Y    N    E  
Zimbabwe                                ZWE   ZWE     Y    N    E  

